No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,HWL,HWG,ETA
3,1,2,0,0,6,0.071,18.845,34.3227,0,0.071,0
4,2,2,0,0,6,0.071,18.892,34.1463,0,0.071,0
5,1,2,1,1,24,0.07,23.133,22.4632,0,0.07,0
6,2,2,1,1,24,0.07,23.192,22.3458,0,0.07,0
7,1,2,2,0,12,0.068,26.774,16.5424,0,0.068,0
8,2,2,2,0,12,0.068,26.842,16.4545,0,0.068,0
9,1,1,3,0,12,0.067,30.004,12.9973,0,0.067,0
10,1,3,1,0,12,0.067,30.004,12.9973,0,0.067,0
11,2,1,3,0,12,0.067,30.081,12.9271,0,0.067,0
12,2,3,1,0,12,0.067,30.081,12.9271,0,0.067,0
13,1,2,2,2,8,0.066,32.946,10.64,0,0.066,0
14,2,2,2,2,8,0.066,33.03,10.5817,0,0.066,0
15,1,2,3,1,24,0.065,35.671,8.9616,0,0.065,0
16,1,3,2,1,24,0.065,35.671,8.9616,0,0.065,0
17,2,2,3,1,24,0.065,35.762,8.9119,0,0.065,0
18,2,3,2,1,24,0.065,35.762,8.9119,0,0.065,0
19,1,4,0,0,6,0.064,38.226,7.7077,0,0.064,0
20,2,4,0,0,6,0.064,38.325,7.6643,0,0.064,0
21,1,3,3,0,12,0.063,40.644,6.7368,0,0.063,0
22,1,4,1,1,24,0.063,40.644,6.7368,0,0.063,0
23,2,3,3,0,12,0.063,40.749,6.6984,0,0.063,0
24,2,4,1,1,24,0.063,40.749,6.6984,0,0.063,0
25,1,2,4,0,12,0.062,42.948,5.9641,0,0.062,0
26,1,4,2,0,12,0.062,42.948,5.9641,0,0.062,0
27,2,2,4,0,12,0.062,43.06,5.9297,0,0.062,0
28,2,4,2,0,12,0.062,43.06,5.9297,0,0.062,0
29,1,3,3,2,24,0.062,45.157,5.3356,0,0.062,0
30,2,3,3,2,24,0.062,45.275,5.3045,0,0.062,0
31,1,4,2,2,24,0.061,47.284,4.8153,0,0.061,0
32,2,4,2,2,24,0.061,47.409,4.7871,0,0.061,0
33,1,1,5,0,12,0.06,49.34,4.3784,0,0.06,0
34,1,3,4,1,24,0.06,49.34,4.3784,0,0.06,0
35,1,4,3,1,24,0.06,49.34,4.3784,0,0.06,0
36,1,5,1,0,12,0.06,49.34,4.3784,0,0.06,0
37,2,1,5,0,12,0.06,49.471,4.3525,0,0.06,0
38,2,3,4,1,24,0.06,49.471,4.3525,0,0.06,0
39,2,4,3,1,24,0.06,49.471,4.3525,0,0.06,0
40,2,5,1,0,12,0.06,49.471,4.3525,0,0.06,0
41,1,2,5,1,24,0.059,53.276,3.6881,0,0.059,0
42,1,5,2,1,24,0.059,53.276,3.6881,0,0.059,0
43,2,2,5,1,24,0.059,53.419,3.6661,0,0.059,0
44,2,5,2,1,24,0.059,53.419,3.6661,0,0.059,0
45,1,4,4,0,12,0.058,55.169,3.4119,0,0.058,0
46,2,4,4,0,12,0.058,55.318,3.3915,0,0.058,0
47,1,3,5,0,12,0.058,57.019,3.171,0,0.058,0
48,1,4,3,3,24,0.058,57.019,3.171,0,0.058,0
49,1,5,3,0,12,0.058,57.019,3.171,0,0.058,0
50,2,3,5,0,12,0.058,57.174,3.1521,0,0.058,0
51,2,4,3,3,24,0.058,57.174,3.1521,0,0.058,0
52,2,5,3,0,12,0.058,57.174,3.1521,0,0.058,0
53,1,4,4,2,24,0.057,58.832,2.9596,0,0.057,0
54,1,6,0,0,6,0.057,58.832,2.9596,0,0.057,0
55,2,4,4,2,24,0.057,58.993,2.9419,0,0.057,0
56,2,6,0,0,6,0.057,58.993,2.9419,0,0.057,0
57,1,3,5,2,24,0.057,60.61,2.7729,0,0.057,0
58,1,5,3,2,24,0.057,60.61,2.7729,0,0.057,0
59,1,6,1,1,24,0.057,60.61,2.7729,0,0.057,0
60,2,3,5,2,24,0.057,60.777,2.7564,0,0.057,0
61,2,5,3,2,24,0.057,60.777,2.7564,0,0.057,0
62,2,6,1,1,24,0.057,60.777,2.7564,0,0.057,0
63,1,2,6,0,12,0.056,62.358,2.6075,0,0.056,0
64,1,6,2,0,12,0.056,62.358,2.6075,0,0.056,0
65,2,2,6,0,12,0.056,62.53,2.5921,0,0.056,0
66,2,6,2,0,12,0.056,62.53,2.5921,0,0.056,0
67,1,4,5,1,24,0.056,64.078,2.4604,0,0.056,0
68,1,5,4,1,24,0.056,64.078,2.4604,0,0.056,0
69,2,4,5,1,24,0.056,64.257,2.4459,0,0.056,0
70,2,5,4,1,24,0.056,64.257,2.4459,0,0.056,0
71,1,6,2,2,24,0.055,65.774,2.329,0,0.055,0
72,2,6,2,2,24,0.055,65.958,2.3155,0,0.055,0
73,1,3,6,1,24,0.055,67.447,2.2114,0,0.055,0
74,1,6,3,1,24,0.055,67.447,2.2114,0,0.055,0
75,2,3,6,1,24,0.055,67.637,2.1988,0,0.055,0
76,2,6,3,1,24,0.055,67.637,2.1988,0,0.055,0
77,1,4,4,4,8,0.054,69.1,2.106,0,0.054,0
78,2,4,4,4,8,0.054,69.296,2.0942,0,0.054,0
79,1,1,7,0,12,0.054,70.735,2.0114,0,0.054,0
80,1,4,5,3,24,0.054,70.735,2.0114,0,0.054,0
81,1,5,4,3,24,0.054,70.735,2.0114,0,0.054,0
82,1,5,5,0,12,0.054,70.735,2.0114,0,0.054,0
83,1,7,1,0,12,0.054,70.735,2.0114,0,0.054,0
84,2,1,7,0,12,0.054,70.938,2.0003,0,0.054,0
85,2,4,5,3,24,0.054,70.938,2.0003,0,0.054,0
86,2,5,4,3,24,0.054,70.938,2.0003,0,0.054,0
87,2,5,5,0,12,0.054,70.938,2.0003,0,0.054,0
88,2,7,1,0,12,0.054,70.938,2.0003,0,0.054,0
89,1,4,6,0,12,0.054,72.354,1.9264,0,0.054,0
90,1,6,4,0,12,0.054,72.354,1.9264,0,0.054,0
91,2,4,6,0,12,0.054,72.563,1.916,0,0.054,0
92,2,6,4,0,12,0.054,72.563,1.916,0,0.054,0
93,1,2,7,1,24,0.053,73.959,1.85,0,0.053,0
94,1,5,5,2,24,0.053,73.959,1.85,0,0.053,0
95,1,6,3,3,24,0.053,73.959,1.85,0,0.053,0
96,1,7,2,1,24,0.053,73.959,1.85,0,0.053,0
97,2,2,7,1,24,0.053,74.174,1.8403,0,0.053,0
98,2,5,5,2,24,0.053,74.174,1.8403,0,0.053,0
99,2,6,3,3,24,0.053,74.174,1.8403,0,0.053,0
100,2,7,2,1,24,0.053,74.174,1.8403,0,0.053,0
101,1,4,6,2,24,0.053,75.551,1.7813,0,0.053,0
102,1,6,4,2,24,0.053,75.551,1.7813,0,0.053,0
103,2,4,6,2,24,0.053,75.772,1.7723,0,0.053,0
104,2,6,4,2,24,0.053,75.772,1.7723,0,0.053,0
105,1,3,7,0,12,0.053,77.131,1.7197,0,0.053,0
106,1,7,3,0,12,0.053,77.131,1.7197,0,0.053,0
107,2,3,7,0,12,0.053,77.358,1.7113,0,0.053,0
108,2,7,3,0,12,0.053,77.358,1.7113,0,0.053,0