code,H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=9.411800,b=9.411800,c=9.411800,alpha=90.000000,beta=90.000000,gamma=90.000000
0,2,1,1,24,1626.053658,0.75229855,23.12951715,1956.892828,1.265717088,0.009492288,,,,,,
1,2,1,1,24,304.1759142,0.359229671,23.18767828,1187.104274,0.094753839,0.00899108,,,,,,
0,2,2,0,24,176.6120103,1,26.76950421,73.50009028,0.76486095,0.0005,,,,,,
1,2,2,0,24,1696.003071,0.974616457,26.83713778,559.5632505,0.972464414,0.860550703,,,,,,
0,1,3,0,12,610.351111,0.999811774,29.99923374,198.2261306,0.990150507,0.0005,,,,,,
1,1,3,0,12,627.4962091,0.984127688,30.07539275,215.3812065,0.929357088,1.053267516,,,,,,
0,3,1,0,12,610.351111,0.999811774,29.99923374,198.2261306,0.990150507,0.0005,,,,,,
1,3,1,0,12,627.4962091,0.984127688,30.07539275,215.3812065,0.929357088,1.053267516,,,,,,
0,2,2,2,12,6190.788106,0.416692077,32.94020483,16672.16392,0.097907342,0.030233199,,,,,,
1,2,2,2,12,1136.722535,0.670426065,33.02423995,5181.125221,0.073815251,0.006221628,,,,,,
0,2,3,1,12,18.98201478,0.952756302,35.66450015,93.9703022,0.06450608,0.005727235,,,,,,
1,2,3,1,12,23.53744454,0.997737983,35.75593874,6.928658599,1.08211466,1.057673646,,,,,,
0,3,2,1,12,18.98201478,0.952756302,35.66450015,93.9703022,0.06450608,0.005727235,,,,,,
1,3,2,1,12,23.53744454,0.997737983,35.75593874,6.928658599,1.08211466,1.057673646,,,,,,
0,4,0,0,12,1820.2206,0.646541683,38.2190401,2928.941319,1.079631269,0.00988195,,,,,,
1,4,0,0,12,229.6176278,0.245025693,38.31752474,1265.912787,0.055954433,0.005346241,,,,,,
0,3,3,0,8,141.2093567,0.984051528,40.63639598,87.22656156,0.940159595,0.0005,,,,,,
1,3,3,0,8,154.1168605,0.970909848,40.74164957,47.08290239,1.051441728,1.005871909,,,,,,
0,4,1,1,8,141.2093567,0.984051528,40.63639598,87.22656156,0.940159595,0.0005,,,,,,
1,4,1,1,8,154.1168605,0.970909848,40.74164957,47.08290239,1.051441728,1.005871909,,,,,,
0,2,4,0,24,3.349567814,0.999880469,42.94027808,1.010676598,1.062319512,0.0005,,,,,,
1,2,4,0,24,94.74345248,0.926489315,43.05208239,26.57237181,1.144692932,1.649583519,,,,,,
0,4,2,0,24,3.349567814,0.999880469,42.94027808,1.010676598,1.062319512,0.0005,,,,,,
1,4,2,0,24,94.74345248,0.926489315,43.05208239,26.57237181,1.144692932,1.649583519,,,,,,
0,3,3,2,24,639.1707175,0.758616706,45.14859049,1410.649139,0.158641522,0.019771377,,,,,,
1,3,3,2,24,202.7115889,0.423217771,45.26677213,677.1973447,0.247967557,0.006765948,,,,,,
0,4,2,2,24,163.5564008,0.981927889,47.27525386,183.7441511,0.318121982,0.002617461,,,,,,
1,4,2,2,24,127.6529268,0.979380747,47.39967476,108.8707873,0.642786367,0.0005,,,,,,
0,1,5,0,6,223.5937531,0.369684722,49.33135372,635.9917651,0.246544438,0.011284902,,,,,,
1,1,5,0,6,93.34881471,0.867387688,49.4619044,42.35621746,0.85196807,0.166458472,,,,,,
0,3,4,1,6,223.5937531,0.369684722,49.33135372,635.9917651,0.246544438,0.011284902,,,,,,
1,3,4,1,6,93.34881471,0.867387688,49.4619044,42.35621746,0.85196807,0.166458472,,,,,,
0,4,3,1,12,223.5937531,0.369684722,49.33135372,635.9917651,0.246544438,0.011284902,,,,,,
1,4,3,1,12,93.34881471,0.867387688,49.4619044,42.35621746,0.85196807,0.166458472,,,,,,
0,5,1,0,24,223.5937531,0.369684722,49.33135372,635.9917651,0.246544438,0.011284902,,,,,,
1,5,1,0,24,93.34881471,0.867387688,49.4619044,42.35621746,0.85196807,0.166458472,,,,,,
0,2,5,1,12,287.7239776,0.900919575,53.26632551,524.4502705,0.432760015,0.001160932,,,,,,
1,2,5,1,12,522.7126337,0.778017274,53.40889839,135.2791407,1.141064743,4.495542284,,,,,,
0,5,2,1,24,287.7239776,0.900919575,53.26632551,524.4502705,0.432760015,0.001160932,,,,,,
1,5,2,1,24,522.7126337,0.778017274,53.40889839,135.2791407,1.141064743,4.495542284,,,,,,
0,4,4,0,12,2981.757991,0.783410077,55.15888367,4960.098207,0.289120395,0.011637378,,,,,,
1,4,4,0,12,1081.706115,0.759304182,55.30738636,2370.391886,0.240907162,0.006532304,,,,,,
0,3,5,0,12,285.6730969,0.990227099,57.00887582,282.4769506,0.377447998,0.000643186,,,,,,
1,3,5,0,12,108.8935314,0.992112534,57.16327515,42.16556885,0.824510627,0.560189522,,,,,,
0,4,3,3,12,285.6730969,0.990227099,57.00887582,282.4769506,0.377447998,0.000643186,,,,,,
1,4,3,3,12,108.8935314,0.992112534,57.16327515,42.16556885,0.824510627,0.560189522,,,,,,
0,5,3,0,12,285.6730969,0.990227099,57.00887582,282.4769506,0.377447998,0.000643186,,,,,,
1,5,3,0,12,108.8935314,0.992112534,57.16327515,42.16556885,0.824510627,0.560189522,,,,,,
0,4,4,2,24,47.43980123,0.875132483,58.82086211,185.0784801,0.166451359,0.0005,,,,,,
1,4,4,2,24,60.17108438,0.822680011,58.98113851,20.63296808,0.897908846,1.904200351,,,,,,
0,6,0,0,24,47.43980123,0.875132483,58.82086211,185.0784801,0.166451359,0.0005,,,,,,
1,6,0,0,24,60.17108438,0.822680011,58.98113851,20.63296808,0.897908846,1.904200351,,,,,,
0,3,5,2,24,205.0404672,0.8608867,60.59880367,367.5218844,0.319628504,0.003522416,,,,,,
1,3,5,2,24,23.67057215,0.701126327,60.76494996,96.04659888,0.92765571,0.000975749,,,,,,
0,5,3,2,24,205.0404672,0.8608867,60.59880367,367.5218844,0.319628504,0.003522416,,,,,,
1,5,3,2,24,23.67057215,0.701126327,60.76494996,96.04659888,0.92765571,0.000975749,,,,,,
0,6,1,1,12,205.0404672,0.8608867,60.59880367,367.5218844,0.319628504,0.003522416,,,,,,
1,6,1,1,12,23.67057215,0.701126327,60.76494996,96.04659888,0.92765571,0.000975749,,,,,,
0,2,6,0,24,37.67931884,0.999988664,62.34617426,32.86658199,0.36492931,0.022414473,,,,,,
1,2,6,0,24,82.06666912,0.894871567,62.51819467,34.24388536,0.761761247,0.936546177,,,,,,
0,6,2,0,24,37.67931884,0.999988664,62.34617426,32.86658199,0.36492931,0.022414473,,,,,,
1,6,2,0,24,82.06666912,0.894871567,62.51819467,34.24388536,0.761761247,0.936546177,,,,,,
0,4,5,1,12,394.3282848,0.871537994,64.06604709,1111.214033,0.186166189,0.001489667,,,,,,
1,4,5,1,12,101.7865716,0.819299409,64.24395653,39.59462898,0.772060081,1.981618709,,,,,,
0,5,4,1,12,394.3282848,0.871537994,64.06604709,1111.214033,0.186166189,0.001489667,,,,,,
1,5,4,1,12,101.7865716,0.819299409,64.24395653,39.59462898,0.772060081,1.981618709,,,,,,
0,6,2,2,24,1798.660537,0.94452342,65.76116341,2639.927328,0.241120028,0.010044896,,,,,,
1,6,2,2,24,593.6665708,0.885394742,65.9449869,978.0668788,0.24060323,0.009220037,,,,,,
0,3,6,1,24,236.0164086,0.769912513,67.43398723,416.9099976,0.349787218,0.007417217,,,,,,
1,3,6,1,24,138.7744214,0.680621269,67.62375955,48.42046681,0.831122415,2.084732102,,,,,,
0,6,3,1,12,236.0164086,0.769912513,67.43398723,416.9099976,0.349787218,0.007417217,,,,,,
1,6,3,1,12,138.7744214,0.680621269,67.62375955,48.42046681,0.831122415,2.084732102,,,,,,
0,4,4,4,24,255.9450156,0.895620657,69.08674971,564.7094076,0.390507159,0.000795575,,,,,,
1,4,4,4,24,250.9555853,0.996109558,69.28251507,311.9101363,0.2563726,0.064121697,,,,,,
0,1,7,0,24,173.1103428,0.101957119,70.72148537,49.40720641,0.456381483,2.794994601,,,,,,
1,1,7,0,24,5.937968385,0.995306828,70.92329729,24.24957039,0.078034937,0.006141719,,,,,,
0,4,5,3,24,173.1103428,0.101957119,70.72148537,49.40720641,0.456381483,2.794994601,,,,,,
1,4,5,3,24,5.937968385,0.995306828,70.92329729,24.24957039,0.078034937,0.006141719,,,,,,
0,5,4,3,24,173.1103428,0.101957119,70.72148537,49.40720641,0.456381483,2.794994601,,,,,,
1,5,4,3,24,5.937968385,0.995306828,70.92329729,24.24957039,0.078034937,0.006141719,,,,,,
0,5,5,0,12,173.1103428,0.101957119,70.72148537,49.40720641,0.456381483,2.794994601,,,,,,
1,5,5,0,12,5.937968385,0.995306828,70.92329729,24.24957039,0.078034937,0.006141719,,,,,,
0,7,1,0,12,173.1103428,0.101957119,70.72148537,49.40720641,0.456381483,2.794994601,,,,,,
1,7,1,0,12,5.937968385,0.995306828,70.92329729,24.24957039,0.078034937,0.006141719,,,,,,
0,4,6,0,12,25.95506992,0.990734136,72.34006208,43.67812589,0.190276585,0.021085674,,,,,,
1,4,6,0,12,10.08805128,0.906516315,72.54798332,4.205759789,0.734718116,2.381832056,,,,,,
0,6,4,0,24,25.95506992,0.990734136,72.34006208,43.67812589,0.190276585,0.021085674,,,,,,
1,6,4,0,24,10.08805128,0.906516315,72.54798332,4.205759789,0.734718116,2.381832056,,,,,,
0,2,7,1,12,70.19606298,0.992858277,73.9442061,125.2865961,0.178536002,0.037805675,,,,,,
1,2,7,1,12,17.70824252,0.72480267,74.15830869,6.560056977,0.775297028,2.269703813,,,,,,
0,5,5,2,12,70.19606298,0.992858277,73.9442061,125.2865961,0.178536002,0.037805675,,,,,,
1,5,5,2,12,17.70824252,0.72480267,74.15830869,6.560056977,0.775297028,2.269703813,,,,,,
0,6,3,3,24,70.19606298,0.992858277,73.9442061,125.2865961,0.178536002,0.037805675,,,,,,
1,6,3,3,24,17.70824252,0.72480267,74.15830869,6.560056977,0.775297028,2.269703813,,,,,,
0,7,2,1,12,70.19606298,0.992858277,73.9442061,125.2865961,0.178536002,0.037805675,,,,,,
1,7,2,1,12,17.70824252,0.72480267,74.15830869,6.560056977,0.775297028,2.269703813,,,,,,
0,4,6,2,24,47.92651258,0.889309544,75.53552321,45.09681104,0.332369243,0.244718765,,,,,,
1,4,6,2,24,101.4037793,0.185761662,75.75588857,26.69484569,0.744664935,3.121787756,,,,,,
0,6,4,2,6,47.92651258,0.889309544,75.53552321,45.09681104,0.332369243,0.244718765,,,,,,
1,6,4,2,6,101.4037793,0.185761662,75.75588857,26.69484569,0.744664935,3.121787756,,,,,,
0,3,7,0,24,6.726726933,0.99976637,77.11551669,4.920230493,0.435160302,0.452588057,,,,,,
1,3,7,0,24,83.48491652,0.095416181,77.34223586,25.72522969,0.774229976,1.800909522,,,,,,
0,7,3,0,6,6.726726933,0.99976637,77.11551669,4.920230493,0.435160302,0.452588057,,,,,,
1,7,3,0,6,83.48491652,0.095416181,77.34223586,25.72522969,0.774229976,1.800909522,,,,,,